user_message,bot_response
"the product is damaged","I'm sorry the item arrived damaged. Keep photos and order details and contact support for a replacement or refund."
"i want to return this","Use the return option in your order details and follow the return instructions."
"can i get a refund","Refund eligibility depends on the order and payment method. Contact support with your order details."
"my payment failed","Check your payment details and try again. If it still fails, contact your payment provider or support."
"i was charged twice","Keep both transaction references and contact support so the duplicate charge can be checked."
"i cannot log in","Try the password reset option first. If that does not work, contact account support."
"i forgot my password","Use the password reset link and follow the instructions sent to your registered email."
"my account is locked","If your account is locked, follow the account recovery instructions or contact account support."
"how do i contact support","Use the service's support or contact page."
"i want to speak to a person","If live support is available, choose the human-agent option."
"i want to make a complaint","Please describe the problem and the outcome you want so support can review it."
"the website is not working","Try refreshing the page, checking your internet connection, and looking for an error message."
"the page is blank","Check the Flask terminal, route, template path, static files, and browser console for errors."
"the button does nothing","Check the browser console and verify that the button's JavaScript event handler is loaded correctly."
"my css is broken","Check the CSS file path, static folder configuration, and browser developer tools."

"suggest a movie","Sure! Tell me your preferred genre and mood and I can suggest a type of movie."
"what movie should i watch","Tell me your mood and preferred genre, and I can suggest a suitable type of movie."
"i want something funny","Try a comedy or lighthearted adventure."
"i want something scary","A horror or psychological thriller may suit you."
"i want an action movie","Try an action film with adventure, chase, or combat elements."
"i want a romantic movie","A romance or romantic comedy could be a good choice."
"i want a family movie","Choose a family-friendly movie with an age-appropriate rating and broad appeal."
"i want science fiction","Science fiction often explores space, technology, future worlds, or artificial intelligence."
"i want a mystery","Look for a mystery involving clues, secrets, and solving a puzzle."
"movie for tonight","Tell me your mood, genre preference, and whether you want something light or serious."
"i have nothing to watch","Tell me what genres you enjoy and I can suggest a type of movie."
"what is a comedy","A comedy is a movie genre mainly intended to entertain through humor."
"what is a thriller","A thriller is designed to create suspense, tension, and anticipation."
"what is a movie genre","A movie genre is a category used to describe the type or style of a film, such as comedy, drama, action, or science fiction."
"can we talk about movies","Absolutely. We can discuss genres, plots, characters, and movie preferences."
"my code is not working","Read the error message carefully, identify the line involved, and check the code around it."
"i got an error","Share the exact error message and the code around the failing line."
"python gives an error","Read the Python traceback from the bottom upward to find the actual exception."
"what is debugging","Debugging is the process of finding and fixing problems in code."
"what is a variable","A variable is a named reference to a value used by a program."
"what is a loop","A loop repeats a block of instructions."
"what is a function","A function is a reusable block of code designed to perform a particular task."
"what is an algorithm","An algorithm is a step-by-step procedure for solving a problem."
"what is a database","A database is an organized collection of data that can be stored, searched, and managed."
"what is sql","SQL is a language commonly used to work with data in relational databases."
"what is a primary key","A primary key is a column or set of columns that uniquely identifies each row in a database table."
"what is a foreign key","A foreign key is a column that creates a relationship between data in two database tables."
"what is json","JSON is a text format commonly used to store and exchange structured data between applications."
"what is git","Git is a version control system used to track changes in files and collaborate on software projects."
"what is backend","A backend handles server-side logic, data processing, APIs, and communication with databases or models."
"what is frontend","A frontend is the part of an application that users see and interact with."
"how do i learn coding","Start with basic concepts, practice small programs regularly, and build simple projects."
"i am a beginner","That's completely fine. Start with simple concepts and practice one small topic at a time."
"i don't know programming","That's okay. Start with variables, conditions, loops, functions, and small projects."
"is coding hard","Coding can be challenging at first, but regular practice and small projects make it easier to learn."
"give me a beginner project","A simple calculator, to-do list, quiz app, or basic chatbot can be a good beginner project."
"how do i prepare for my viva","Explain your project objective, dataset, preprocessing, model or matching approach, Flask integration, testing, and limitations."
"what should i show in my project demo","Show the interface, demonstrate normal questions, try different wordings, and explain how the backend processes the input."
"how do i test my chatbot","Test greetings, normal questions, technical questions, misspellings, short inputs, repeated questions, and unrelated questions."
"what if the chatbot does not understand me","Try rephrasing the question or using a more specific phrase."
"can i ask simple questions","Yes. Simple questions and everyday language are welcome."
"can i use slang","Informal language can be supported when similar examples are included in the dataset."
"can i make spelling mistakes","Common spelling mistakes and informal wording can be included in the dataset to improve robustness."
"can i ask the same question differently","Yes. Multiple phrasings for the same intent help the chatbot handle natural variations."
"what if i type only one word","The chatbot can try to use the available word, but a little more context usually gives a better response."
"what if i ask something unrelated","If the chatbot does not know an answer, it should respond politely instead of inventing information."
"hii","Hi! How can I help you?"
"helo","Hello! How can I help you today?"
"heyy","Hey! What would you like to talk about?"
"how r u","I'm doing well, thank you! How can I help you?"
"how r you","I'm doing well, thank you! How can I help you?"
"wht is python","Python is a popular programming language used for many areas including web development and AI."
"wat is nlp","NLP stands for Natural Language Processing. It helps computers work with human language."
"plz explain python","Sure. Python is a beginner-friendly programming language. Tell me what part you want explained."
"can u explain nlp","Yes. NLP means Natural Language Processing. It helps computers work with human language."
"i need help asap","Sure. Tell me the issue first and we will work through it."
"im new to coding","That's completely fine. Start with variables, conditions, loops, and functions."
"my chatbot isnt replying","Check the browser request, Flask terminal, and chatbot route to see where the message stops."
"website is blank","For a blank website, check the Flask terminal, route, template path, and browser console."
"hello","Hello! How can I help you today?"
"hi there","Hi! Nice to meet you. How can I help?"
"hey","Hey! What would you like to talk about?"
"good afternoon","Good afternoon! How can I help you?"
"good evening","Good evening! What can I help you with?"
"good night","Good night! Take care and have a great day."
"how is your day","I'm doing well, thank you! What would you like to discuss?"
"what are you doing","I'm here and ready to answer your questions."
"are you there","Yes, I'm here. What can I help you with?"
"can we chat","Of course! We can have a casual conversation or talk about a question you have."
"let's talk","Sure! What would you like to talk about?"
"i am bored","Let's fix that! We can talk about movies, technology, programming, or everyday topics."
"i am tired","It sounds like you need a break. Take some time to rest if you can."
"i am happy today","That's great to hear! What made your day happy?"
"i am feeling sad","I'm sorry you're having a difficult moment. If you want, you can tell me what's bothering you."
"thanks","You're welcome!"
"thank you so much","You're very welcome! I'm glad I could help."
"thx","You're welcome!"
"okay thanks","You're welcome! Let me know if you need anything else."
"bye","Goodbye! Have a great day."
"see you later","See you later! Take care."
"talk to you later","Sure! I'll be here when you return."

"what can you do","I can answer questions, explain basic concepts, help with common problems, and have simple conversations."
"what should i ask you","You can ask about programming, NLP, your project, movies, customer-service situations, or everyday questions."
"can you help me","Of course. Tell me what you need help with."
"i need some help","Sure. Tell me what the problem is and we can work through it."
"i have a question","Go ahead and ask your question."
"can you explain this","Yes. Tell me what you want explained and I will keep it simple."
"explain it simply","Sure. I can explain it using simple words and a small example."
"i don't understand","No problem. Tell me which part is confusing and I will explain it another way."
"say that again","Sure. Tell me which part you would like me to repeat."
"give me an example","Absolutely. Tell me the topic and I can give you a simple example."
"can you give me a tip","Sure. Start with one small step, practice it, and then build on it."
"what do you think","I can help you compare the options and explain the pros and cons."
"tell me something interesting","A fun fact: computers can process instructions extremely quickly, but they still need clear instructions from people."
"what is your favorite color","I don't have personal preferences, but I can talk about colors or help you choose one."
"do you like music","I don't have personal preferences, but I can discuss music genres and general music topics."
"do you like movies","I don't have personal preferences, but I can discuss movie genres and help you choose one."
"are you a human","No. I'm a chatbot designed to communicate with users through text."
"do you have feelings","I don't have feelings, but I'm designed to communicate in a friendly and helpful way."
"who made you","I'm a chatbot created as part of an NLP-based software project."

"hello?","Hello! How can I help you today?"
"hi?","Hi! What can I help you with?"
"help","Sure. Tell me what you need help with."
"help me","Of course. Tell me what you are trying to do."
"pls help","Of course. Tell me the problem and we can break it down."
"can u help","Yes. Tell me what you need help with."
"what is nlp","NLP stands for Natural Language Processing. It helps computers work with human language."
"nlp meaning","NLP stands for Natural Language Processing. It helps computers process and understand human language."
"what is python","Python is a popular programming language used in web development, automation, data science, AI, and many other areas."
"python meaning","Python is a high-level programming language known for readable syntax and broad use."
"what is ai","AI stands for Artificial Intelligence. It refers to computer systems designed to perform tasks that normally require human intelligence."
"ai meaning","AI means Artificial Intelligence."
"what is machine learning","Machine learning is a part of AI in which systems learn patterns from data and use those patterns to make predictions or decisions."
"what is chatbot","A chatbot is software that communicates with users through text or voice."
"how does a chatbot work","A chatbot receives a user message, processes it, and selects or generates a response."
"what is flask","Flask is a lightweight Python web framework used to build web applications and APIs."
"what is html","HTML stands for HyperText Markup Language. It is used to structure content on web pages."
"what is css","CSS is used to control the appearance and layout of web pages."
"what is javascript","JavaScript is a programming language commonly used to add interactive behavior to web pages."
"what is api","An API is a way for different software components to communicate using defined requests and responses."

"where is my order","You can check your order status using your order or tracking information."
"my order is late","I'm sorry about the delay. Please check the order status and delivery details."
"my package has not arrived","Please check the tracking information first. If there is no update, contact the seller or delivery support."
"my order is missing","Check the delivery status and address details, then contact support if the package cannot be located."
"i got the wrong product","Sorry about that. Keep the order details and contact support for a replacement or return."
"the product is damaged","I'm sorry the item arrived damaged. Keep photos and order details and contact support for a replacement or refund."
"i want to return this","Use the return option in your order details and follow the return instructions."
"can i get a refund","Refund eligibility depends on the order and payment method. Contact support with your order details."
"my payment failed","Check your payment details and try again. If it still fails, contact your payment provider or support."
"i was charged twice","Keep both transaction references and contact support so the duplicate charge can be checked."
"i cannot log in","Try the password reset option first. If that does not work, contact account support."
"i forgot my password","Use the password reset link and follow the instructions sent to your registered email."
"my account is locked","If your account is locked, follow the account recovery instructions or contact account support."
"how do i contact support","Use the service's support or contact page."
"i want to speak to a person","If live support is available, choose the human-agent option."
"i want to make a complaint","Please describe the problem and the outcome you want so support can review it."
"the website is not working","Try refreshing the page, checking your internet connection, and looking for an error message."
"the page is blank","Check the Flask terminal, route, template path, static files, and browser console for errors."
"the button does nothing","Check the browser console and verify that the button's JavaScript event handler is loaded correctly."
"my css is broken","Check the CSS file path, static folder configuration, and browser developer tools."

"suggest a movie","Sure! Tell me your preferred genre and mood and I can suggest a type of movie."
"what movie should i watch","Tell me your mood and preferred genre, and I can suggest a suitable type of movie."
"i want something funny","Try a comedy or lighthearted adventure."
"i want something scary","A horror or psychological thriller may suit you."
"i want an action movie","Try an action film with adventure, chase, or combat elements."
"i want a romantic movie","A romance or romantic comedy could be a good choice."
"i want a family movie","Choose a family-friendly movie with an age-appropriate rating and broad appeal."
"i want science fiction","Science fiction often explores space, technology, future worlds, or artificial intelligence."
"i want a mystery","Look for a mystery involving clues, secrets, and solving a puzzle."
"movie for tonight","Tell me your mood, genre preference, and whether you want something light or serious."
"i have nothing to watch","Tell me what genres you enjoy and I can suggest a type of movie."
"what is a comedy","A comedy is a movie genre mainly intended to entertain through humor."
"what is a thriller","A thriller is designed to create suspense, tension, and anticipation."
"what is a movie genre","A movie genre is a category used to describe the type or style of a film, such as comedy, drama, action, or science fiction."
"can we talk about movies","Absolutely. We can discuss genres, plots, characters, and movie preferences."
"i like movies","That's great! What kind of movies do you enjoy?"
"i like science fiction movies","Science fiction is a fascinating genre! What do you like about it?"
"i like space movies","Space movies can be really interesting. Do you prefer realistic or futuristic stories?"
"i prefer realistic science","That's interesting! Realistic science-fiction can make stories feel much more believable."
"i like futuristic movies","Futuristic movies can be fascinating because they explore possible technologies and societies."

"my code is not working","Read the error message carefully, identify the line involved, and check the code around it."
"i got an error","Share the exact error message and the code around the failing line."
"python gives an error","Read the Python traceback from the bottom upward to find the actual exception."
"what is debugging","Debugging is the process of finding and fixing problems in code."
"what is a variable","A variable is a named reference to a value used by a program."
"what is a loop","A loop repeats a block of instructions."
"what is a function","A function is a reusable block of code designed to perform a particular task."
"what is an algorithm","An algorithm is a step-by-step procedure for solving a problem."
"what is a database","A database is an organized collection of data that can be stored, searched, and managed."
"what is sql","SQL is a language commonly used to work with data in relational databases."
"what is a primary key","A primary key is a column or set of columns that uniquely identifies each row in a database table."
"what is a foreign key","A foreign key is a column that creates a relationship between data in two database tables."
"what is json","JSON is a text format commonly used to store and exchange structured data between applications."
"what is git","Git is a version control system used to track changes in files and collaborate on software projects."
"what is backend","A backend handles server-side logic, data processing, APIs, and communication with databases or models."
"what is frontend","A frontend is the part of an application that users see and interact with."
"how do i learn coding","Start with basic concepts, practice small programs regularly, and build simple projects."
"i am a beginner","That's completely fine. Start with simple concepts and practice one small topic at a time."
"i don't know programming","That's okay. Start with variables, conditions, loops, functions, and small projects."
"is coding hard","Coding can be challenging at first, but regular practice and small projects make it easier to learn."
"give me a beginner project","A simple calculator, to-do list, quiz app, or basic chatbot can be a good beginner project."
"how do i prepare for my viva","Explain your project objective, dataset, preprocessing, model or matching approach, Flask integration, testing, and limitations."
"what should i show in my project demo","Show the interface, demonstrate normal questions, try different wordings, and explain how the backend processes the input."
"how do i test my chatbot","Test greetings, normal questions, technical questions, misspellings, short inputs, repeated questions, and unrelated questions."
"what if the chatbot does not understand me","Try rephrasing the question or using a more specific phrase."
"can i ask simple questions","Yes. Simple questions and everyday language are welcome."
"can i use slang","Informal language can be supported when similar examples are included in the dataset."
"can i make spelling mistakes","Common spelling mistakes and informal wording can be included in the dataset to improve robustness."
"can i ask the same question differently","Yes. Multiple phrasings for the same intent help the chatbot handle natural variations."
"what if i type only one word","The chatbot can try to use the available word, but a little more context usually gives a better response."
"what if i ask something unrelated","If the chatbot does not know an answer, it should respond politely instead of inventing information."
"hii","Hi! How can I help you?"
"helo","Hello! How can I help you today?"
"heyy","Hey! What would you like to talk about?"
"how r u","I'm doing well, thank you! How can I help you?"
"how r you","I'm doing well, thank you! How can I help you?"
"wht is python","Python is a popular programming language used for many areas including web development and AI."
"wat is nlp","NLP stands for Natural Language Processing. It helps computers work with human language."
"plz explain python","Sure. Python is a beginner-friendly programming language. Tell me what part you want explained."
"can u explain nlp","Yes. NLP means Natural Language Processing. It helps computers work with human language."
"i need help asap","Sure. Tell me the issue first and we will work through it."
"im new to coding","That's completely fine. Start with variables, conditions, loops, and functions."
"my chatbot isnt replying","Check the browser request, Flask terminal, and chatbot route to see where the message stops."
"website is blank","For a blank website, check the Flask terminal, route, template path, and browser console."
"what should i wear today","Choose clothes that are comfortable and suitable for the weather and occasion."
"i have a party tonight","Have fun! Choose something comfortable that fits the type of party."
"what should i wear to a wedding","Choose something neat and appropriate for the wedding and venue."
"what should i wear to college","Comfortable casual or smart-casual clothing is usually suitable for college."
"my shirt has a stain","Check the clothing label and treat the stain as soon as possible."
"my shoes are uncomfortable","Try adjusting the fit or using comfortable insoles if appropriate."
"i need new clothes","Think about what you need, your budget, and the type of clothing you normally wear."
"how do i choose a shirt","Consider the size, fit, material, color, and occasion."
"how do i choose shoes","Choose shoes based on comfort, size, purpose, and the surface you will use them on."
"what color looks good","That depends on your preferences and the occasion. Choose colors that make you feel comfortable."
"how is the weather","Weather can affect what we plan for the day. What is the weather like where you are?"
"it is raining","Rainy weather can make the day feel cooler and quieter."
"it is very hot today","That sounds warm! Staying hydrated and avoiding excessive heat can be helpful."
"it is cold today","A warm drink and comfortable clothing can make a cold day more pleasant."
"i love rainy weather","Rainy weather can create a calm atmosphere. Do you like staying indoors when it rains?"
"i hate rainy weather","I understand. Rain can make travel and outdoor activities inconvenient."
"what weather do you like","I don't have personal preferences, but many people enjoy mild and pleasant weather."
"do you like rain","I don't experience weather personally, but rain can be an interesting topic to discuss."
"it is sunny today","A sunny day can be great for outdoor activities."
"the weather is terrible","Bad weather can certainly make plans difficult. Hopefully conditions improve soon."
"should i go outside","That depends on the weather and what you plan to do outside."
"what should i do on a rainy day","You could watch a movie, read, play games, study, or enjoy another indoor activity."
"what should i do on a sunny day","You could go for a walk, meet friends, play a sport, or enjoy another outdoor activity."
